Title,Link,Rating,Description,Genre,Duration (hrs)
Toy Story,https://www.imdb.com/title/tt0114709/,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,"Animation, Adventure, Comedy",1h 21m
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.","Action, Adventure, Drama",3h 1m
Das Boot,https://www.imdb.com/title/tt0082096/,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama, War",2h 29m
Braveheart,https://www.imdb.com/title/tt0112573/,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography, Drama, War",2h 58m
Good Will Hunting,https://www.imdb.com/title/tt0119217/,8.3,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama, Romance",2h 6m
Mononoke-hime,https://www.imdb.com/title/tt0119698/,8.3,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation, Action, Adventure",2h 14m
Joker,https://www.imdb.com/title/tt7286456/,8.4,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Crime, Drama, Thriller",2h 2m
Kimi no na wa.,https://www.imdb.com/title/tt5311514/,8.4,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Animation, Drama, Fantasy",1h 46m
Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,"Crime, Drama, Mystery",2h 23m
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime, Drama",3h 49m
3 Idiots,https://www.imdb.com/title/tt1187043/,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.","Comedy, Drama",2h 50m
Singin&apos; in the Rain,https://www.imdb.com/title/tt0045152/,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy, Musical, Romance",1h 43m
Capharnaüm,https://www.imdb.com/title/tt8267604/,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,2h 6m
Idi i smotri,https://www.imdb.com/title/tt0091251/,8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama, Thriller, War",2h 22m
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Drama,1h 42m
Toy Story 3,https://www.imdb.com/title/tt0435761/,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.","Animation, Adventure, Comedy",1h 43m
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action, Adventure, Fantasy",2h 11m
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama, Romance, Sci-Fi",1h 48m
Jagten,https://www.imdb.com/title/tt2106476/,8.3,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",Drama,1h 55m
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Adventure, Sci-Fi",2h 29m
Reservoir Dogs,https://www.imdb.com/title/tt0105236/,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime, Thriller",1h 39m
Ikiru,https://www.imdb.com/title/tt0044741/,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,2h 23m
Oppenheimer,https://www.imdb.com/title/tt15398776/,8.3,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Biography, Drama, History",3h 0m
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure, Biography, Drama",3h 38m
The Apartment,https://www.imdb.com/title/tt0053604/,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.","Comedy, Drama, Romance",2h 5m
Incendies,https://www.imdb.com/title/tt1255953/,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,"Drama, Mystery, War",2h 11m
North by Northwest,https://www.imdb.com/title/tt0053125/,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action, Adventure, Mystery",2h 16m
Citizen Kane,https://www.imdb.com/title/tt0033467/,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;","Drama, Mystery",1h 59m
M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime, Mystery, Thriller",1h 57m
Scarface,https://www.imdb.com/title/tt0086250/,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime, Drama",2h 50m
Double Indemnity,https://www.imdb.com/title/tt0036775/,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","Crime, Drama, Film-Noir",1h 47m
Vertigo,https://www.imdb.com/title/tt0052357/,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Mystery, Romance, Thriller",2h 8m
Full Metal Jacket,https://www.imdb.com/title/tt0093058/,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama, War",1h 56m
Le fabuleux destin d&apos;Amélie Poulain,https://www.imdb.com/title/tt0211915/,8.3,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Comedy, Romance",2h 2m
Heat,https://www.imdb.com/title/tt0113277/,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Action, Crime, Drama",2h 50m
Up,https://www.imdb.com/title/tt1049413/,8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation, Adventure, Comedy",1h 36m
A Clockwork Orange,https://www.imdb.com/title/tt0066921/,8.3,"In Stanley Kubrick&apos;s controversial filming of the Anthony Burgess dystopian novel, sadistic gang leader Alex DeLarge is imprisoned and volunteers for a conduct-aversion experiment, but it doesn&apos;t go as planned.","Crime, Sci-Fi",2h 16m
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,8.3,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Crime, Drama",2h 9m
Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,Drama,2h 3m
The Sting,https://www.imdb.com/title/tt0070735/,8.3,Two grifters team up to pull off the ultimate con.,"Comedy, Crime, Drama",2h 9m
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action, Adventure",2h 7m
